accuracy,precision,recall,model
0.92,0.8,0.10256410256410256,hae
0.92,0.8,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.92,0.8,0.10256410256410256,hae
0.92,0.8,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.92,0.8,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.92,0.8,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9266666666666666,1.0,0.15384615384615385,hae
0.92,0.8,0.10256410256410256,hae
0.9222222222222223,1.0,0.10256410256410256,hae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,1.0,0.10256410256410256,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9266666666666666,1.0,0.15384615384615385,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,1.0,0.10256410256410256,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9266666666666666,1.0,0.15384615384615385,scsae
0.9244444444444444,1.0,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9222222222222223,0.8333333333333334,0.1282051282051282,scsae
0.9177777777777778,0.5833333333333334,0.1794871794871795,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.9222222222222223,0.6666666666666666,0.20512820512820512,ae
0.9222222222222223,0.7,0.1794871794871795,ae
0.9244444444444444,0.7272727272727273,0.20512820512820512,ae
0.9244444444444444,0.7272727272727273,0.20512820512820512,ae
0.9177777777777778,0.5833333333333334,0.1794871794871795,ae
0.9222222222222223,0.7,0.1794871794871795,ae
0.9244444444444444,0.7777777777777778,0.1794871794871795,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.9222222222222223,0.7,0.1794871794871795,ae
0.9244444444444444,0.6666666666666666,0.2564102564102564,ae
0.92,0.6153846153846154,0.20512820512820512,ae
0.9222222222222223,0.7,0.1794871794871795,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.9244444444444444,0.7272727272727273,0.20512820512820512,ae
0.9244444444444444,0.7272727272727273,0.20512820512820512,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.9288888888888889,0.8181818181818182,0.23076923076923078,ae
0.9266666666666666,0.8,0.20512820512820512,ae
0.9244444444444444,0.7777777777777778,0.1794871794871795,ae
0.9222222222222223,0.6666666666666666,0.20512820512820512,ae
0.92,0.6363636363636364,0.1794871794871795,ae
0.9222222222222223,0.6666666666666666,0.20512820512820512,ae
