Name,State,Notes,User,Tags,Created,Runtime,Sweep,ae_input_days,batch_size,checkpoint,cnn_batchnorm,dataset,epochs,latent_dimension,learning_rate,learning_rate_style,loss,model,noise,noise_pct,optimiser,optimiser_hyperparams,weight_decay,best_val_loss,epoch,train_loss,val_loss,cr
swift-shadow-195,finished,-,syip0005,,2022-10-05T20:33:28.000Z,1026,,12,512,./model_param/state_4664357.pt,true,CERN3,1000,52,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.010666839778423,1000,0.007441533470733,0.013322029262781,11.0769230769231
silvery-bush-194,finished,-,syip0005,,2022-10-05T20:16:35.000Z,1007,,12,512,./model_param/state_9946040.pt,true,CERN3,1000,52,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.010931397322565,1000,0.007194774923846,0.014004212804139,11.0769230769231
bumbling-universe-193,finished,-,syip0005,,2022-10-05T20:06:22.000Z,608,,12,512,./model_param/state_4619828.pt,true,CERN3,1000,57,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014912175945938,1000,0.013942097003261,0.014982588589192,10.1052631578947
neat-water-192,finished,-,syip0005,,2022-10-05T19:49:06.000Z,1031,,12,512,./model_param/state_6331452.pt,true,CERN3,1000,57,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.010341565590352,1000,0.00712653549595,0.012743446510285,10.1052631578947
sleek-dragon-191,finished,-,syip0005,,2022-10-05T19:32:15.000Z,1006,,12,512,./model_param/state_9279388.pt,true,CERN3,1000,57,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.010551821440458,1000,0.006901266777681,0.013727995567024,10.1052631578947
true-voice-190,finished,-,syip0005,,2022-10-05T19:22:19.000Z,590,,12,512,./model_param/state_4221449.pt,true,CERN3,1000,64,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014572627376765,1000,0.013694482752019,0.014846606180072,9
comic-thunder-189,finished,-,syip0005,,2022-10-05T19:05:08.000Z,1025,,12,512,./model_param/state_6385778.pt,true,CERN3,1000,64,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.009874328505248,1000,0.006476949408857,0.012526324484497,9
astral-sun-188,finished,-,syip0005,,2022-10-05T18:48:19.000Z,1004,,12,512,./model_param/state_8785364.pt,true,CERN3,1000,64,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.010207407176495,1000,0.00641640368849,0.012883638031781,9
crisp-disco-187,finished,-,syip0005,,2022-10-05T18:38:14.000Z,600,,12,512,./model_param/state_9089751.pt,true,CERN3,1000,72,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.015212022699416,1000,0.014070056741022,0.015411047264934,8
misty-water-186,finished,-,syip0005,,2022-10-05T18:21:08.000Z,1020,,12,512,./model_param/state_5091672.pt,true,CERN3,1000,72,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.009477203711867,1000,0.006060151952422,0.012206705287099,8
